sourcePage,category,section,application,cataloguePartNumber,referenceNo,mrp,validationStatus,imageStatus
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA B-275 ( PREMIER 137D DIESEL ENG. )","M-809","005551027R91 / 7038208R94 / 5557368R91 / 5555118R91","3000","READY","CROPPED_FROM_PAGE_RENDER"
"23","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA B-275 DI MODEL WITH LONG MOUTH","M-810","55547168R91 / 5555095R91 / 006002264R92 / 05557168R93","3043","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA SARPANCH ( NST )","M-814","006003265A92","3551","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA ARJUN DI NEW MODEL WITH C.I PULLEY","M-837","006002847C91 / C3","3140","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA ARJUN NOVO 605 DI-I TRACTOR WITH TWO TUBES","M-839","0060056118F4","3000","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA 6565 ARJUN ULTRA HIGH DISCHARGE WITH SINGLE TUBE","M-839 A","006004367F94","3000","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA DHRUV / YUVO","M-839 B","006014971V91","2926","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA YUVRAJ 215 MINI TRACTOR","M-843","006011797B91","3020","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","YUVRAJ TRACTOR","M-846","006009094B91","2446","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","SONALIKA MINI TRACTOR / SWARAJ 717 / MAHINDRA 215","M-846 A","","2835","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","CAPTAIN MINI TRACTOR 8G 283 4WD","M-846 B","","2726","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA SWARAZ 843 XM 42-45 HP TRACTOR","M-866","006002102B91","4519","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA HINDUSTAN 60 TRACTOR","M-823","1030598","3818","READY","CROPPED_FROM_PAGE_RENDER"
"24","Water Pump Assemblies","TRACTORS DIVISION","MAHINDRA SHAKTIMAN TRACTOR","M-525","","3050","READY","CROPPED_FROM_PAGE_RENDER"
