listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","EXPORT","HINO MOTOR REAR","MB/NA/HM/REAR STD/1MM","MB/NA/HM/REAR STD","1 MM","8","5524","2486","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","74"
"HCV","EXPORT","HINO MOTOR REAR","MB/NA/HM/REAR STD/2MM","MB/NA/HM/REAR STD","2 MM","8","5624","2531","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","75"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - FRONT (14 HOLES)","MB/NA/VL 87/STD","MB/NA/VL 87","STD","8","4360","1962","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","76"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - FRONT (14 HOLES)","MB/NA/VL 87/1MM","MB/NA/VL 87","1 MM","8","4464","2009","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","77"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - FRONT (14 HOLES)","MB/NA/VL 87/2MM","MB/NA/VL 87","2 MM","8","4570","2057","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","78"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - REAR (14 HOLES)","MB/NA/VL 88/STD","MB/NA/VL 88","STD","8","4654","2094","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","79"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - REAR (14 HOLES)","MB/NA/VL 88/1MM","MB/NA/VL 88","1 MM","8","4780","2151","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","80"
"HCV","EXPORT","VOLVO TRUCK FMX SERIES - REAR (14 HOLES)","MB/NA/VL 88/2MM","MB/NA/VL 88","2 MM","8","4884","2198","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","81"
"HCV","BRAKE SHOE","BRAKE SHOE","BRAKE SHOE ASSEMBLY P-TYPE/STD","BRAKE SHOE ASSEMBLY P-TYPE","STD","1","3617","1628","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","83"
"HCV","BRAKE SHOE","BRAKE SHOE","BRAKE SHOE ASSEMBLY C-TYPE/STD","BRAKE SHOE ASSEMBLY C-TYPE","STD","1","3618","1628","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","84"
"HCV","BRAKE SHOE","BRAKE SHOE","BRAKE SHOE ASSEMBLY Q-TYPE/STD","BRAKE SHOE ASSEMBLY Q-TYPE","STD","1","3619","1629","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","85"
