partNumber,name,brand,currentPriceRaw,gstPercent,hsn,oeNumber,sourceUrl,status
"CI-21108","OIL FILTER HONDA AMAZE, BR-V, BRIO, CITY TYPE 7, CIVIC, JAZZ","CI","185 / PCS","18","84212300","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-21111","OIL FILTER HONDA CITY T-3","CI","150 / Pcs","18","84212300","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30190LH","SIDE VIEW MIRROR FIXED TYPE AMAZE","CI","650 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30190RH","SIDE VIEW MIRROR FIXED TYPE AMAZE","CI","650 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30225LH","SIDE VIEW MIRROR AMAZE LXI","CI","1200 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30225RH","SIDE VIEW MIRROR AMAZE LXI","CI","1200 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30307LH","SIDE VIEW MIRROR AMAZE MOTORIZED","CI","1900 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30307RH","SIDE VIEW MIRROR AMAZE MOTORIZED","CI","1900 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30315LH","SIDE VIEW MIRROR MOTORIZED CITY ZX ELECTRIC WITH CONNECTOR","CI","1650 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30315RH","SIDE VIEW MIRROR MOTORIZED CITY ZX ELECTRIC WITH CONNECTOR","CI","1650 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30334LH","SIDE VIEW MIRROR AMAZE T-2 MOTORIZED W/BLINKER","CI","2624 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30334RH","SIDE VIEW MIRROR AMAZE T-2 MOTORIZED W/BLINKER","CI","2624 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30335LH","SIDE VIEW MIRROR AMAZE T-2 MOTORIZED WITH CONNECTOR","CI","2486 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30335RH","SIDE VIEW MIRROR AMAZE T-2 MOTORIZED WITH CONNECTOR","CI","2486 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30336LH","SIDE VIEW MIRROR CITY I-VTEC MOTORIZED WITH CONNECTOR","CI","2062 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30336RH","SIDE VIEW MIRROR CITY I-VTEC MOTORIZED WITH CONNECTOR","CI","2062 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30337LH","SIDE VIEW MIRROR CITY I-DTEC MOTORIZED W/BLINKER","CI","2788 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30337RH","SIDE VIEW MIRROR CITY I-DTEC MOTORIZED W/BLINKER","CI","2788 / Pcs","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30338LH","SIDE VIEW MIRROR CITY I-DTEC MOTORIZED WITH CONNECTOR","CI","2608 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30338RH","SIDE VIEW MIRROR CITY I-DTEC MOTORIZED WITH CONNECTOR","CI","2608 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30345LH","SIDE VIEW MIRROR LH -RH (MOTORIZED WITH BLINKER, WITH CONNECTOR & AUTO FOLD) HONDA AMAZE TYPE - 2, BRIO","CI","4800 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30345RH","SIDE VIEW MIRROR LH -RH (MOTORIZED WITH BLINKER, WITH CONNECTOR & AUTO FOLD) HONDA AMAZE TYPE - 2, BRIO","CI","4800 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
"CI-30347LH","SIDE VIEW MIRROR LH -RH (MOTORIZED WITH BLINKER, WITH CONNECTOR & AUTO FOLD) HONDA CITY IDTEC","CI","4800 / PCS","18","70091090","","https://onlineautohandles.com/getresult?search=honda","REVIEW"
