part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"23035","WINDOW REGULATOR ASSY. (LH - RH) POWER WITH MOTOR , SWITCHES AND WIRING KIT (COMPLETE) ASHOK LEYLAND AVTR TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"25016","FRONT VIEW MIRROR COVER M.BENZ ACTROS MP4, AROCS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"30166","SIDE VIEW MIRROR BENZ TRUCK CABIN 347","0","","","1","PCS","Ambaji Traders","READY"
"30191","SIDE VIEW MIRROR (UNIVERSAL TYPE) SET OF 2 PCS LH-RH LUXURY BUS","0","","","1","PCS","Ambaji Traders","READY"
"30195","SIDE VIEW MIRROR (BIG) W/ALLUMINUM BRACKET M.BENZ TRUCK CABIN 641","0","","","1","PCS","Ambaji Traders","READY"
"30196","SIDE VIEW MIRROR (SMALL) W/ALLUMINUM BRACKET M.BENZ TRUCK CABIN 641","0","","","1","PCS","Ambaji Traders","READY"
"30196 lh","SIDE VIEW MIRROR (SMALL) W/ALLUMINUM BRACKET M.BENZ TRUCK CABIN 641","0","","","1","PCS","Ambaji Traders","READY"
"30196 rh","SIDE VIEW MIRROR (SMALL) W/ALLUMINUM BRACKET M.BENZ TRUCK CABIN 641","0","","","1","PCS","Ambaji Traders","READY"
"30273","EXTERIOR MIRROR JCB 15-22 MM DIA ROD","0","","","1","Pcs","Ambaji Traders","READY"
"30313","SIDE VIEW MIRROR MOTORIZED TOYOTA COROLLA “2000”","0","","","1","PCS","Ambaji Traders","READY"
"30368","SIDE VIEW MIRROR COMPLETE MOTORIZED W/O HEATER (E-MARK) MBENZ MP3 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"30388","SIDE VIEW MIRROR (LH-RH) LONG ARM (ELECTRIC)  M.BENZ MP4 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"30455","SIDE VIEW MIRROR (LH - RH) SUZUKI GYPSY ACE 3","0","","","1","PCS","Ambaji Traders","READY"
"30693","SUB MIRROR TOYOTA QUANTUM HIACE LH/RH","0","","","1","PCS","Ambaji Traders","READY"
"30707","SUB MIRROR BIG  LH - RH M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"30708","SUB MIRROR SMALL LH - RH M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"30725","SUB MIRROR (LH-RH) DOUBLE SIDE CHROME TOYOTA QUANTUM","0","","","1","PCS","Ambaji Traders","READY"
"30726","SUB MIRROR (LH - RH) TOYOTA AXIO","0","","","1","PCS","Ambaji Traders","READY"
"30727","SUB MIRROR (LH - RH) DOUBLE SIDE CHROME TOYOTA AXIO","0","","","1","PCS","Ambaji Traders","READY"
"30988","FAN 9' 12 VOLT (METAL BLADE & METAL BODY) UNIVERSAL TYPE","0","","","1","Pcs","Ambaji Traders","READY"
"30997","COMPLETE DOOR LOCK KIT WITH HEAVY DUTY LATCH (KIT OF 7 PCS) TATA BUS & TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"32200","TAIL GATE NUMBER PLATE HANDLE TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"32215","OUTSIDE DOOR HANDLE WITHOUT LOCK AND KEYS M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"32628","STORAGE BOX HANDLE M.BENZ MP5, MP4 ACTROS, AROCS, ANTOS TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"33051","FOOT STEP COVER M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"33063","FRONT WINDSHIELD BOTTOM SIDE COVER LH - RH TOYOTA HIACE","0","","","1","PCS","Ambaji Traders","READY"
"33065","FOOT STEP COVER SLIDING DOOR TOYOTA HIACE","0","","","1","PCS","Ambaji Traders","READY"
"33105","SLIDING DOOR LATCH ASSY. TOYOTA QUANTUM HIACE H 200 ‘2005’","0","","","1","PCS","Ambaji Traders","READY"
"33173","DOOR LATCH ASSY. EICHER PRO 1114XP, PRO 1110XPT, PRO 1110, PRO 1095XP, PRO 1095, PRO 1095T, PRO 1090, PRO 1080, PRO 1080HT, PRO 1080XPT, PRO 1080XP, PRO 1075, PRO 1055, PRO 1055 CT, PRO 1055T, PRO 1059XP, PRO 1059, PRO 1050, PRO 1112XPT, PRO 1049, PRO 2080XP, PRO 2080XPT, PRO 2095XP, PRO 2095XPT, PRO 2090, PRO 2050, PRO 2059, PRO 2059XP, PRO 2055, PRO 2055K, PRO 2055HT, PRO 2055T, PRO 2075, PRO 2095, B2070, B2075, B2090, PRO 3012, PRO 3014, PRO 2110, PRO 2110E, PRO 2110XP","0","","","1","PCS","Ambaji Traders","READY"
"33303","WINDOW  REGULATOR ASSY. TOYOTA  HIACE YH-71, RZH-104 “1990”","0","","","1","PCS","Ambaji Traders","READY"
"33382","WINDOW REGULATOR ASSY. POWER WITH MOTOR VOLVO FH TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"33502","TURRET LEVER PIVOT PIN JCB","0","","","1","PCS","Ambaji Traders","READY"
"33504","BONNET STEP HINGE BRACKET (ALUMINIUM) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"33518","BRACKET FOR ARM REST HANDLE M.BENZ CABIN 673","0","","","1","PCS","Ambaji Traders","READY"
"34001","SHOCK ABSORBER GAS FILLED   FRONT TOYOTA HIACE","0","","","1","PCS","Ambaji Traders","READY"
"34002","SHOCK ABSORBER GAS FILLED   REAR TOYOTA HIACE","0","","","1","PCS","Ambaji Traders","READY"
"34126","CABLE FOR TOOL BOX LOCK M.BENZ MP4 ACTROS, AXOR TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"34482","FRONT GRILL GAS SPRING LENGTH - 520 MM, STROKE - 230 MM PRESSURE  - 300 N M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"34496BLOCK","DICKEY SHOCKER ALTO 800 L/R","0","","","1","Set","Ambaji Traders","READY"
"34570","GRILL SHOCKER (GAS SPRING) TATA PRIMA TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"34571","SEAT SHOCKER (GAS TYPE) LENGTH - 218 MM (C TO C) FORCE - 150N EARTHMOVERS (UNIVERSAL TYPE)","0","","","1","PCS","Ambaji Traders","READY"
"34574","FRONT SHOCK ABSORBER ASHOK LEYLAND FVDP 4923, 2516, 2518, U SERIES","0","","","1","PCS","Ambaji Traders","READY"
"34577","GAS SPRING WITH BRACKET CHEVROLET SPARK M300","0","","","1","PCS","Ambaji Traders","READY"
"34843","THERMO SENSOR SWITCH ESTEEM, ZEN, SWIFT (EXPORT MODEL OF ESTEEM)","0","","","1","PCS","Ambaji Traders","READY"
"35512","FOOT REST SIDE CAP/COVER  MAHINDRA  SCORPIO 1ST GEN  2ND GEN,  3RD GEN","0","","","1","Pcs","Ambaji Traders","READY"
"35630","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE  WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (CHROME) MAHINDRA SCORPIO N/M","0","","","1","PCS","Ambaji Traders","READY"
"36050 FL","OUTSIDE DOOR HANDLE WITH BASE CHROME FRONT LH HYUNDAI I-20 ELITE","0","","","1","PCS","Ambaji Traders","READY"
"36108","OUTSIDE DOOR HANDLE ONLY BACK PLATE TOYOTA COROLLA","0","","","1","PCS","Ambaji Traders","READY"
"36127","OUTSIDE SLIDER TOYOTA COROLLA FRONT CHROME 1 HANDLE WITH 2 CAP WITHOUT HOLE","0","","","1","PCS","Ambaji Traders","READY"
"36128","OUTER HANDLE BLACK REAR INNOVA COROLLA 1 HANDLE WITH 2 CAP WITH HOLE","0","","","1","PCS","Ambaji Traders","READY"
"36136","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (SENSOR TYPE) (CHROME) KIA SELTOS","0","","","1","PCS","Ambaji Traders","READY"
"36137","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (CHROME) KIA SELTOS","0","","","1","PCS","Ambaji Traders","READY"
"36138","OUTSIDE DOOR HANDLE WITH BASE WITH KEY HOLE FRONT RH (SENSOR TYPE) (BLACK) KIA SELTOS","0","","","1","PCS","Ambaji Traders","READY"
"36139","OUTSIDE DOOR HANDLE WITH BASE WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (BLACK) KIA SELTOS","0","","","1","PCS","Ambaji Traders","READY"
"36140","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITH KEY HOLE FRONT RH (SENSOR TYPE) (BLACK) KIA SONET","0","","","1","PCS","Ambaji Traders","READY"
"36141","OUTSIDE DOOR HANDLE ONLY WITHOUT BASE WITHOUT KEY HOLE FRONT LH (SENSOR TYPE) (BLACK) KIA SONET","0","","","1","PCS","Ambaji Traders","READY"
"36142","OUTSIDE DOOR HANDLE  WITH BASE WITH KEY HOLE FRONT RH (SENSOR TYPE) (BLACK) KIA SONET","0","","","1","PCS","Ambaji Traders","READY"
