part_number,part_name,description,brand,category,sku,hsn,gst,moq,uom,source_rate,mrp,selling_price,oem_number,vehicle_make,source_url,source_image_url,validation_status,firm
"31553","SHOCK ABSORBER FRONT MAXXIMO","SHOCK ABSORBER FRONT MAXXIMO","CI AUTOMOTIVE LLP","SHOCK ABSORBERS / SHOCKERS","31553","87089900","18","1","Pcs","2171","","2171","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31553.png?v=1393","READY","Ambaji Traders"
"31554","FENDER LINING (LH-RH)  (BLACK) REAR & FRONT (SET OF 4 PCS) MAHINDRA THAR","FENDER LINING (LH-RH)  (BLACK) REAR & FRONT (SET OF 4 PCS) MAHINDRA THAR","CI AUTOMOTIVE LLP","FENDER LININGS","31554","87089900","18","1","Set","4400","","4400","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31554.jpg?v=1393","READY","Ambaji Traders"
"31555","FRONT FENDER LINING (LH/RH) (WHITE) BOLERO CAMPER","FRONT FENDER LINING (LH/RH) (WHITE) BOLERO CAMPER","CI AUTOMOTIVE LLP","FENDER LININGS","31555","87089900","18","1","Set","853","","853","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31555.png?v=1393","READY","Ambaji Traders"
"31556","FRONT FENDER LINING (WHITE) (LH/RH) BOLERO PIC-UP F.B","FRONT FENDER LINING (WHITE) (LH/RH) BOLERO PIC-UP F.B","CI AUTOMOTIVE LLP","FENDER LININGS","31556","87089900","18","1","Set","853","","853","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31556.png?v=1393","READY","Ambaji Traders"
"31557","FENDER LINING BOLERO MAXI TRUCK WHITE","FENDER LINING MAXI TRUCK (WHITE)","CI AUTOMOTIVE LLP","FENDER LININGS","31557","87089900","18","1","Set","853","","853","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31557.png?v=1393","READY","Ambaji Traders"
"31558","FRONT FENDER LINING (LH/RH) (GREY) BOLERO CAMPER","FRONT FENDER LINING (LH/RH) (GREY) BOLERO CAMPER","CI AUTOMOTIVE LLP","FENDER LININGS","31558","87089900","18","1","Set","715","","715","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31558.jpg?v=1393","READY","Ambaji Traders"
"31559","FENDER LINING (LH-RH) (BLACK) REAR & FRONT (SET OF 4 PCS) MAHINDRA BOLERO (PASSENGER MODEL)","FENDER LINING (LH-RH) (BLACK) REAR & FRONT (SET OF 4 PCS) MAHINDRA BOLERO (PASSENGER MODEL)","CI AUTOMOTIVE LLP","FENDER LININGS","31559","87089900","18","1","Set","3080","","3080","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31559.jpg?v=1393","READY","Ambaji Traders"
"31560","STEERING LOCK KIT 3IN1 MAXIMO","STEERING LOCK KIT 3IN1 MAXIMO","CI AUTOMOTIVE LLP","IGNITION / STEERING LOCKS","31560","83012000","18","1","Kit","1208","","1208","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31560.jpg?v=1393","READY","Ambaji Traders"
"31561","STEERING LOCK KIT 3IN1 BOLERO SLE","STEERING LOCK KIT 3IN1 BOLERO SLE","CI AUTOMOTIVE LLP","IGNITION / STEERING LOCKS","31561","83012000","18","1","Kit","1208","","1208","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31561_1.jpg?v=1393","READY","Ambaji Traders"
"31562","DASH BOARD HANDLE BOLERO MAXI TRUCK","DASH BOARD HANDLE BOLERO MAXI TRUCK","CI AUTOMOTIVE LLP","GRAB HANDLE","31562","87089900","18","1","Pcs","157","","157","","MAHINDRA","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/31562.jpg?v=1393","READY","Ambaji Traders"
