status,partNumber,application,oem,category,subcategory,sourceUrl,officialImageUrl,imageFile,mrp,sellingPrice,stock
READY,M-612,"MAHINDRA PEUGEOT XDP ARMADA 540 D MODELS MM540, CJ50DP, FJ460DP 4.90 DSL ENG",9420 000 226 / 409 7944 97034 / 401,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-612,https://mekoautoindia.com/image/catalog/product_images/M-612.2.png,M-612.png,,,0
READY,M-637,MAHINDRA PEUGEOT XDP3 ENGINE,9420000522 0304EG0210N,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-637,https://mekoautoindia.com/image/catalog/product_images/M-637.png,M-637.png,,,0
READY,M-638,MAHINDRA BOLERO PICKUP,85269,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-638,https://mekoautoindia.com/image/catalog/product_images/M-638.png,M-638.png,,,0
READY,M-638 A,MAHINDRA BOLERO PICKUP (WITH HUB AND TUBE / GLX XLS-ALU),85269,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-638-a,https://mekoautoindia.com/image/catalog/product_images/M-638%20A.png,M-638_A.png,,,0
READY,M-638 B,MAHINDRA BOLERO PICKUP (WITH HUB AND WITHOUT TUBE GLX / XLS-ALU),85269,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-638-b,https://mekoautoindia.com/image/catalog/product_images/M-638%20B.png,M-638_B.png,,,0
READY,M-638 C,"MAHINDRA BOLERO CAMPER F/L 2.5 L, BOLERO PICKUP 2ND GEN / MAXI TRUCK MAXX PICKUP CITY",0304EAB01421N,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-638-c,https://mekoautoindia.com/image/catalog/product_images/M-638C.2.png,M-638_C.png,,,0
READY,M-638 D,MAHINDRA BOLERO NEO / MAXX PICKUP HEAVY DUTY,0304188IN,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-638-d,https://mekoautoindia.com/image/catalog/product_images/M-638D.2.png,M-638_D.png,,,0
READY,M-663 B,MAHINDRA BOLERO / SCORPIO M2DI MAXI TRUCK (WITH 4 PK BELT MULTI GROOVE PULLEY),0304EAB0100N,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-663-b,https://mekoautoindia.com/image/catalog/product_images/M-663%20B.png,M-663_B.png,,,0
READY,M-618,"MAHINDRA SCORPIO S.U.V. (ALUM. PUMP 7 PK BELT PULLEY, SIDE PIPE OPEN; ONE SIDE TUBE AND ELBOW OUTLET IN HOUSING)",0304EC0120,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-618,https://mekoautoindia.com/image/catalog/product_images/M-618.2.png,M-618.png,,,0
READY,M-626,"MAHINDRA SCORPIO CRDI 7 PK (ALUM. PUMP WITH 7 PK BELT PULLEY, SIDE PIPE CLOSE; ONE SIDE TUBE, BOTTOM TUBE AND ELBOW OUTLET IN HOUSING)",0304GC0030N,Automotive Water Pump Assemblies,Light Trucks And Buses,https://mekoautoindia.com/product/m-626,https://mekoautoindia.com/image/catalog/product_images/M-626.1.png,M-626.png,,,0
READY,M-801,MASSEY FERGUSON P3 / P4 1035 TRACTOR (P3 LOW POSITION ENGINE) (FAN MTG. DIA : 41 MM),99DE0320 / 41312167,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-801,https://mekoautoindia.com/image/catalog/product_images/M-801.1.png,M-801.png,,,0
READY,M-803,MASSEY FERGUSON 1035 N/M TRACTOR (FAN MTG. DIA : 41 MM),99DE0766,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-803,https://mekoautoindia.com/image/catalog/product_images/M-803.1.png,M-803.png,,,0
READY,M-804,"MASSEY FERGUSON 135 (FAN HUB THREAD SIZE 5/16""∗24 UNF AND HOUSING BOLT SIZE 5/16""∗18 UNC) (FAN MTG. DIA : 41 MM)",41312055 / 2154 / 2784 / 2494 / 2154 A,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-804,https://mekoautoindia.com/image/catalog/product_images/M-804.1.png,M-804.png,,,0
READY,M-805,"MASSEY FERGUSON 241 / 245 MF P3 / 1035 DI (FAN HUB THREAD SIZE : M8∗1.25, HOUSING BOLTS : 3 NOS. M8∗50, 1 NOS. M8∗75) (FAN MTG. DIA : 41 MM)",99S30478 / 41312159 12487 / 12495 41312784,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-805,https://mekoautoindia.com/image/catalog/product_images/M-805.1.png,M-805.png,,,0
READY,M-805 A,MASSEY FERGUSON 241 / 245 TRACTOR (WITHOUT BOLT) (FAN MTG. DIA : 41 MM),99S30478 / 41312159 / 12487 / 12495 / 41312784 / 41312487 / 41312154,Automotive Water Pump Assemblies,Tractors,https://mekoautoindia.com/product/m-805-a,https://mekoautoindia.com/image/catalog/product_images/M-805A.1.png,M-805_A.png,,,0
